compound	pvalue	fc
CPD_11777	0.00297895328319198	0.849250249916695
CPD_1516	8.72433318079373e-19	2.80402513432292
CPD_5086	0.425348441257575	1.07677879204702
CPD_27710	0.288951419834661	1.13042208266394
CPD_15686	0.304149735066321	1.05026842362128
CPD_1648	9.20536040575502e-30	0.337410176380925
CPD_37076	2.061714128198e-16	0.573804014421783
CPD_23642	2.9349125750711e-07	1.97078531224873
CPD_1284	1.93517611685424e-26	0.390357949048694
CPD_33939	0.00148086892853628	1.29833932213266
CPD_15142	0.00159888685184267	0.584107946026986
CPD_34426	0.132293941330586	0.798455432800601
CPD_15996	3.13668923509846e-24	0.462820512820513
CPD_11398	2.5557359180489e-23	0.37797619047619
CPD_33942	1.26372392838836e-05	2.28869871633526
CPD_55	2.38860451411337e-23	4.31498586239397
CPD_3155	0.125464643906532	1.32969988674972
CPD_1126	3.80526303241743e-07	0.75072167428434
CPD_1585	1.01893511937651e-29	0.441017937615976
CPD_22185	1.18031684112492e-43	0.0771123397111182
CPD_57	1.1697438030004e-20	1.50658450109742
CPD_40499	2.59200378912946e-13	6.81434886093166
CPD_31532	1.01816779574754e-09	0.305969744618554
CPD_33487	2.98572952201556e-17	0.434607886046234
CPD_53	2.67866030475887e-13	1.36766581632653
CPD_32672	5.48741622381094e-13	3.65888401888065
CPD_1416	9.32900539765769e-28	0.257892612030682
CPD_35665	1.12594897795615e-44	0.145464757090705
CPD_33943	1.56257094657093e-25	6.49069014369561
CPD_59	1.80336456487517e-27	0.495966985556181
CPD_607	3.36829558215665e-23	0.497858672376874
CPD_15677	4.73390303070981e-12	0.544773149376492
CPD_1574	5.08346664087602e-08	2.46184501845018
CPD_40473	NA	1
CPD_32350	2.62321884756276e-14	0.586463201756856
CPD_40730	0.000532323012307006	0.881059409549265
CPD_396	0.629140159334821	1.20797149855266
CPD_1301	3.5565386407123e-14	0.643076272082937
CPD_6146	2.28983309038225e-11	4.65820983002596
CPD_1444	0.611446525173465	1.29579345648787
CPD_1498	1.24141246937236e-11	0.626538421760265
CPD_1495	1.14799620887948e-09	5.77622950819672
CPD_36751	0.540270078769725	2.34462257849031
CPD_36752	1.17256671346946e-36	0.217268290382666
CPD_35439	2.46851878800811e-14	0.455176603315109
CPD_64	7.84109236075074e-22	0.590681728769741
CPD_36103	2.92968317256706e-06	0.550437715846117
CPD_1299	6.76649915425319e-27	0.508311153517802
CPD_32197	2.45843932716119e-11	1.54295743747258
CPD_1567	1.34686653961264e-40	0.0948779833735586
CPD_1555	1.41225456230984e-26	0.278543474561851
CPD_541	3.74169395285475e-30	0.308696190004948
CPD_33950	2.76697806723223e-05	0.790285714285714
CPD_32390	0.185945903494115	1.06649526703284
CPD_35126	8.63371846619874e-41	0.10287908953559
CPD_32553	1.32638888122995e-08	0.51755557839208
CPD_1578	NA	1
CPD_15140	5.58727866496381e-34	7.91572327044025
CPD_54	1.58542330452743e-32	0.309808664104004
CPD_18349	0.555584324264828	0.856510186005314
CPD_27513	2.13498967625176e-34	0.201450658522619
CPD_37097	2.93850191341866e-11	2.88689448855137
CPD_33959	0.572474628547645	0.098230673225167
CPD_32675	0.00290615680731388	0.800164232506305
CPD_27672	5.85861261373133e-06	0.47079079320969
CPD_15676	0.325965710991849	0.89251797284104
CPD_1125	9.19716101602204e-24	0.554325693102908
CPD_60	3.12589359857455e-22	0.588222511951326
CPD_1587	1.74985541778097e-06	2.06655271872663
CPD_1591	0.09173511499664	0.978156818379601
CPD_33967	0.00386100757123141	1.30299928344764
CPD_1649	8.54999593049199e-26	0.546745444615461
CPD_22116	0.339369547576368	1.10723314034086
CPD_33937	0.374694176891323	1.08643071877562
CPD_33441	7.84635082018163e-16	0.661949355394112
CPD_35431	1.10672767223878e-31	0.351184758245277
CPD_34407	5.3147714000444e-30	0.28225468382187
CPD_37060	2.45413826574432e-23	0.509357601234264
CPD_22158	7.28966676847596e-32	0.189477602680233
CPD_31453	0.741733586922168	1.47334868071542
CPD_40262	0.0015538009414845	0.822362083360092
CPD_39512	0.00320405812679072	1.61696264543784
CPD_590	0.0120780468580948	1.70593785805756
CPD_2125	0.706114808372304	1.08689111747851
CPD_15915	0.388679915917035	1.23726043678502
CPD_15948	2.01182397291337e-13	2.10235039173196
CPD_1302	4.26167487765911e-26	0.488387978142076
CPD_1589	2.84904933709252e-22	2.46436484490399
CPD_21044	0.543280994253907	1.04650857255469
CPD_40266	0.0553770199834257	0.98702340161843
CPD_36808	1.6173117986762e-33	0.275579394798097
CPD_1638	5.17872767620768e-12	0.707084631982738
CPD_33953	4.7148597910032e-07	4.57481881483587
CPD_1493	0.303989588008777	1.17848667144986
CPD_1670	7.19692915476111e-12	0.520711848300289
CPD_1898	3.37671336177778e-27	0.503484404287019
CPD_18319	3.29794954395388e-12	1.83628887175533
CPD_2132	6.6466004019303e-09	1.39214120277933
CPD_15630	0.785776921419755	1.11487889273356
CPD_1366	3.42191074991547e-05	0.817498020585906
CPD_15497	0.0950261950828306	0.529803753744574
CPD_27718	1.44143502580799e-08	2.10802421232345
CPD_513	5.31181479179786e-27	0.327284324669112
CPD_1577	8.39261634792245e-06	1.34705661792276
CPD_1419	0.0311891312066846	1.65098039215686
CPD_1408	2.88912027253681e-18	4.64231515793189
CPD_15496	0.131465674247699	1.55140186915888
CPD_485	1.16513393600023e-12	1.70151798035555
CPD_603	0.000101277957943508	1.15084670231729
CPD_15681	0.123136589596227	1.21033906919335
CPD_12359	1.56704311879194e-12	0.470668765829283
CPD_2127	6.56522915304666e-19	37.0059360730594
CPD_1494	6.69602644025389e-07	0.84501975585304
CPD_27727	1.17466828776729e-10	27.2434426229508
CPD_35159	1.39265189898337e-23	5.93688757770519
CPD_34592	1.76972050013434e-08	1.69896464153155
CPD_18357	2.9424567544595e-24	0.401423593089642
CPD_21029	1.30947111242526e-26	0.368029881465107
CPD_42012	0.00327949606854046	1.7014068733814
CPD_22171	2.64215968022375e-14	1.70187036439858
CPD_36659	0.000159268997306869	0.830761167084037
CPD_34398	0.745152643311432	1.1367960763458
CPD_41529	0.447229719655524	1.13150442477876
CPD_33954	7.67814582264784e-10	2.16253555465258
CPD_42050	7.34065154958211e-29	0.296243915274306
CPD_33958	1.29241653135641e-05	1.48265127932579
CPD_38151	0.737571251076183	1.41382457887312
CPD_15129	0.1248319666614	1.10922625438408
CPD_37085	0.573781084401079	1.66797172376291
CPD_37084	0.892018663709242	1.40384832411692
CPD_37065	0.000419275177008356	2.31827272727273
CPD_37093	8.88685806651895e-12	4.55321312364425
CPD_37064	9.36149102267976e-05	2.05374868004224
CPD_37075	0.416663233276635	1.26658953243041
CPD_37118	0.765642280393601	1.53742545064665
CPD_42073	0.00028584105854036	1.71272637062764
CPD_38679	2.90275884658908e-09	4.05508861684634
CPD_37098	1.64346723016848e-08	2.33176552565108
CPD_41376	0.000142832390948019	2.11457378551787
CPD_41395	0.000792654306839418	1.29810568295115
CPD_41481	5.79469748674705e-09	0.761307127634383
CPD_22175	8.88926186647079e-05	1.81369905231528
CPD_37461	3.44941625584942e-08	0.78782619475609
