Compound Name	InChiKeys	Pubchem ID	SMILES	KEGG ID	pvalue	foldchange
dehydroascorbate	SBJKKFFYIZUCET-UHFFFAOYSA-N	835	C(C(C1C(=O)C(=O)C(=O)O1)O)O	C05422	0.376	1.8
cysteine	XUJNEKJLAYXESH-UHFFFAOYSA-N	594	C(C(C(=O)O)N)S	C00097	0.104	-1.1
threonic acid	JPIJQSOTBSSVTP-UHFFFAOYSA-N	439535	C(C(C(C(=O)O)O)O)O	C01620	0.563	1.1
urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	1176	C(=O)(N)N	C00086	0.137	1.4
2-monoolein	UPWGQKDVAURUGE-KTKRTIGZSA-N	5319879	CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO	C02112	0.013	2.7
elaidic acid	LKOVPWSSZFDYPG-MSUUIHNZSA-N	5282749	CCCCCCCCCCCCCCC/C=C\C(=O)O	C01712	0.124	5.1
fructose	RFSUNEUAIZKAJO-ARQDHWQXSA-N	439709	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O	C00095	0.282	1.3
2-deoxyerythritol (NIST)	ARXKVVRQIIOZGF-UHFFFAOYSA-N	18302	C(CO)C(CO)O		0.013	-1.4
glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N	124886	C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N	C00051	0.019	2.9
azelaic acid	BDJRBEYXGGNYIS-UHFFFAOYSA-N	2266	C(CCCC(=O)O)CCCC(=O)O	C08261	0.594	1
putrescine	KIDHWZJUCRJVML-UHFFFAOYSA-N	1045	C(CCN)CN	C00134	0.548	-1.3
maltotriose	RXVWSYJTUUKTEA-CGQAXDJHSA-N	92146	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O)O)O	C01835	0.739	-2
uracil	ISAKRJDGNUQOIC-UHFFFAOYSA-N	1174	C1=CNC(=O)NC1=O	C00106	0.493	1
3-aminoisobutyric acid	QCHPKSFMDHPSNR-UHFFFAOYSA-N	64956	CC(CN)C(=O)O	C01205	0.046	-1.9
heptadecanoic acid	KEMQGTRYUADPNZ-UHFFFAOYSA-N	10465	CCCCCCCCCCCCCCCCC(=O)O		0.463	1.4
inositol-4-monophosphate	INAPMGSXUVUWAF-GFWFORPUSA-N	440043	[C@H]1([C@H](C([C@H]([C@H](C1O)O)O)OP(=O)(O)O)O)O	C03546	0.047	1.5
N-acetyl-D-hexosamine	OVRNDRQMDRJTHS-ZTVVOAFPSA-N	439281	CC(=O)N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O	C03136	0.413	-1
1-monoolein	RZRNAYUHWVFMIP-KTKRTIGZSA-N	5283468	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CO)O	C01885	0.002	5.7
taurine	XOAAWQZATWQOTB-UHFFFAOYSA-N	1123	C(CS(=O)(=O)O)N	C00245	0.556	-1.2
glucuronic acid	AEMOLEFTQBMNLQ-AQKNRBDQSA-N	94715	[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O	C00191	0.401	-1.6
adipic acid	WNLRTRBMVRJNCN-UHFFFAOYSA-N	196	C(CCC(=O)O)CC(=O)O	C06104	0.004	-1.6
terephtalic acid	KKEYFWRCBNTPAC-UHFFFAOYSA-N	7489	C1=CC(=CC=C1C(=O)O)C(=O)O	C06337	0.771	-1.4
shikimic acid	JXOHGGNKMLTUBP-HSUXUTPPSA-N	8742	C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O	C00493	0.733	1.3
glycerol-3-galactoside	NHJUPBDCSOGIKX-VGPGGAHRSA-N	656504	C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OCC(CO)O)O)O)O)O	C05401	0.001	1.8
pyrophosphate	XPPKVPWEQAFLFU-UHFFFAOYSA-N	1023	OP(=O)(O)OP(=O)(O)O	C00013	0.187	2.4
nonadecanoic acid	ISYWECDDZWTKFF-UHFFFAOYSA-N	12591	CCCCCCCCCCCCCCCCCCC(=O)O	C16535	0.181	-1.5
succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	1110	C(CC(=O)O)C(=O)O	C00042	0.108	1.3
proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N	145742	C1C[C@H](NC1)C(=O)O	C00148	0.405	-1.3
hypoxanthine	FDGQSTZJBFJUBT-UHFFFAOYSA-N	790	C1=NC2=C(N1)C(=O)N=CN2	C00262	0.047	-1.9
