Compound Name	InChiKeys	Pubchem ID	SMILES	pvalue	foldchange
Mefenamic acid	HYYBABOKPJLUIN-UHFFFAOYSA-N	4044	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C	0.074509	0.82323
Diatrizoic acid	YVPYQUNUQOZFHG-UHFFFAOYSA-N	2140	CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I	0.16673	1.0012
2-Aminobenzoic acid	RWZYAGGXGHYGMB-UHFFFAOYSA-N	227	C1=CC=C(C(=C1)C(=O)O)N	0.55425	0.74894
trans-Crotonobetaine	GUYHPGUANSLONG-SNAWJCMRSA-N	5462194	C[N+](C)(C)C/C=C/C(=O)[O-]	0.42814	1.1724
citraconic acid	HNEGQIOMVPPMNR-IHWYPQMZSA-N	643798	C/C(=C/C(=O)O)/C(=O)O	0.45608	1.1997
fumaric acid	VZCYOOQTPOCHFL-OWOJBTEDSA-N	444972	C(=C/C(=O)O)\C(=O)O	0.52848	0.85635
aconitic acid	GTZCVFVGUGFEME-IWQZZHSRSA-N	643757	C(/C(=C/C(=O)O)/C(=O)O)C(=O)O	0.75199	0.93266
hippuric acid	QIAFMBKCNZACKA-UHFFFAOYSA-N	464	C1=CC=C(C=C1)C(=O)NCC(=O)O	0.91958	1.0661
Hippuric acid	QIAFMBKCNZACKA-UHFFFAOYSA-N	464	C1=CC=C(C=C1)C(=O)NCC(=O)O	0.98545	0.69748
Imazamethabenz-methyl	FFCCBBNQPIMUJI-UHFFFAOYSA-N	54744	CC1=CC(=C(C=C1)C(=O)OC)C2=NC(C(=O)N2)(C)C(C)C	0.071814	1.1628
salicylic acid	YGSDEFSMJLZEOE-UHFFFAOYSA-N	338	C1=CC=C(C(=C1)C(=O)O)O	0.11631	0.92647
ibuprofen	HEFNNWSXXWATRW-UHFFFAOYSA-N	3672	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O	0.13446	0.92791
benzoic acid	WPYMKLBDIGXBTP-UHFFFAOYSA-N	243	C1=CC=C(C=C1)C(=O)O	0.13557	1.0011
Methyl cinnamate	CCRCUPLGCSFEDV-BQYQJAHWSA-N	637520	COC(=O)/C=C/C1=CC=CC=C1	0.28526	1.2047
dioctyl phthalate	MQIUGAXCHLFZKX-UHFFFAOYSA-N	8346	CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC	0.71451	1.0234
1-Methylnicotinamide	LDHMAVIPBRSVRG-UHFFFAOYSA-O	457	C[N+]1=CC=CC(=C1)C(=O)N	0.011835	1.285
Nicotinamide	DFPAKSUCGFBDDF-UHFFFAOYSA-N	936	C1=CC(=CN=C1)C(=O)N	0.036644	1.1908
phosphate	NBIIXXVUZAFLBC-UHFFFAOYSA-N	1004	OP(=O)(O)O	0.2319	0.96226
methanolphosphate	CAAULPUQFIIOTL-UHFFFAOYSA-N	13130	COP(=O)(O)O	0.39481	1.0717
5'-Methylthioadenosine	WUUGFSXJNOTRMR-IOSLPCCCSA-N	439176	CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O	0.0047919	1.1736
1-methyladenosine	GFYLSDSUCHVORB-IOSLPCCCSA-N	27476	CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	0.0051337	1.0698
adenosine	OIRDTQYFTABQOQ-KQYNXXCUSA-N	60961	C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	0.060524	1.1786
Minoxidil	ZIMGGGWCDYVHOY-UHFFFAOYSA-N	4201	C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O	0.34145	1.0548
